X	Y
0	6815.533
1	6824.378
2	6834.911
3	6812.000
4	6780.867
5	6760.400
6	6756.556
7	6771.822
8	6788.333
9	6829.000
10	6849.889
11	6875.333
12	6884.822
13	6904.400
14	6915.267
15	6911.289
16	6903.645
17	6912.533
18	6921.311
19	6924.333
20	6941.156
21	6971.311
22	6986.578
23	7010.533
24	7020.645
25	7080.933
26	7077.778
27	7081.222
28	7023.645
29	7028.800
30	7068.022
31	7153.267
32	7201.044
33	7195.000
34	7182.533
35	7192.978
36	7260.933
37	7329.689
38	7355.156
39	7397.733
40	7414.245
41	7385.911
42	7352.422
43	7359.622
44	7453.978
45	7488.755
46	7507.667
47	7498.956
48	7511.733
49	7542.533
50	7582.978
51	7620.978
52	7649.711
53	7679.667
54	7729.889
55	7771.667
56	7832.556
57	7889.200
58	7930.133
59	7944.933
60	7965.578
61	8027.844
62	8092.844
63	8227.134
64	8280.178
65	8355.489
66	8356.756
67	8424.667
68	8449.333
69	8488.200
70	8531.645
71	8652.355
72	8763.556
73	8887.556
74	9027.045
75	9177.889
76	9329.934
77	9425.378
78	9513.688
79	9584.955
80	9677.155
81	9793.733
82	9883.533
83	10008.556
84	10085.089
85	10226.045
86	10284.911
87	10398.822
88	10493.066
89	10568.822
90	10586.178
91	10649.578
92	10830.111
93	10980.711
94	10982.022
95	10845.667
96	10788.934
97	10840.134
98	10959.200
99	11062.756
100	11118.422
101	11174.066
102	11181.533
103	11221.289
104	11256.578
105	11311.134
106	11340.134
107	11344.045
108	11367.845
109	11325.978
110	11331.022
111	11324.267
112	11374.089
113	11430.688
114	11464.200
115	11541.244
116	11532.533
117	11510.022
118	11462.556
119	11451.200
120	11500.467
121	11513.688
122	11559.267
123	11552.111
124	11574.645
125	11647.089
126	11661.688
127	11731.378
128	11734.155
129	11769.866
130	11689.556
131	11590.667
132	11580.223
133	11612.889
134	11658.533
135	11685.378
136	11723.400
137	11742.400
138	11774.444
139	11804.155
140	11821.978
141	11814.578
142	11831.178
143	11835.444
144	11855.889
145	11802.312
146	11796.378
147	11820.178
148	11880.489
149	11846.422
150	11837.045
151	11799.333
152	11885.400
153	11809.978
154	11805.178
155	11766.756
156	11849.400
157	11890.045
158	11860.267
159	11824.111
160	11846.934
161	11963.489
162	11961.556
163	11871.200
164	11864.511
165	11927.267
166	11944.733
167	11833.000
168	11750.556
169	11851.333
170	11908.355
171	11995.556
172	11904.777
173	11890.800
174	11852.955
175	11867.911
176	11871.866
177	11879.467
178	11917.911
179	11972.134
180	11890.312
181	11907.355
182	11882.289
183	11929.822
184	11935.600
185	11954.955
186	12039.934
187	11942.467
188	11841.556
189	11748.489
190	11767.111
191	11854.200
192	11924.934
193	11980.333
194	11942.733
195	11840.955
196	11804.711
197	11793.955
198	11771.889
199	11737.645
200	11659.178
201	11700.688
202	11739.022
203	11780.533
204	11750.578
205	11666.312
206	11654.312
207	11622.667
208	11642.822
209	11649.845
210	11668.533
211	11657.200
212	11629.223
213	11586.422
214	11598.022
215	11543.866
216	11486.711
217	11410.111
218	11335.934
219	11384.155
220	11350.756
221	11409.244
222	11373.378
223	11430.600
224	11433.733
225	11440.111
226	11396.066
227	11388.889
228	11333.978
229	11323.134
230	11322.089
231	11336.155
232	11393.777
233	11459.178
234	11541.400
235	11472.444
236	11441.711
237	11358.000
238	11300.400
239	11140.155
240	11049.800
241	10999.889
242	11045.267
243	11071.000
244	11071.645
245	11087.845
246	11149.089
247	11164.934
248	11146.355
249	11108.645
250	11163.733
251	11135.978
252	11099.866
253	11051.822
254	11076.178
255	11035.422
256	10957.489
257	10907.467
258	10947.289
259	10955.178
260	10922.866
261	10838.866
262	10849.489
263	10818.134
264	10799.312
265	10773.667
266	10692.756
267	10686.800
268	10698.244
269	10772.244
270	10732.978
271	10651.378
272	10559.111
273	10549.556
274	10547.134
275	10637.845
276	10637.756
277	10574.533
278	10480.822
279	10479.066
280	10535.667
281	10521.978
282	10449.756
283	10333.934
284	10264.178
285	10264.600
286	10270.400
287	10292.223
288	10290.911
289	10274.777
290	10217.467
291	10186.467
292	10209.312
293	10189.645
294	10145.911
295	10116.600
296	10123.911
297	10165.711
298	10123.178
299	10078.066
300	9993.688
301	9946.267
302	9976.622
303	9946.688
304	9945.533
305	9896.845
306	9856.200
307	9815.667
308	9754.934
309	9721.645
310	9667.533
311	9645.378
312	9615.267
313	9610.467
314	9626.866
315	9625.355
316	9602.955
317	9514.645
318	9500.756
319	9490.134
320	9520.756
321	9490.556
322	9443.711
323	9409.444
324	9367.889
325	9368.400
326	9356.289
327	9364.934
328	9310.155
329	9253.200
330	9222.533
331	9218.134
332	9217.711
333	9207.756
334	9179.355
335	9144.578
336	9084.533
337	9053.866
338	9069.312
339	9061.955
340	9002.600
341	8921.777
342	8915.533
343	8934.955
344	8929.622
345	8866.022
346	8849.556
347	8811.556
348	8809.223
349	8824.889
350	8834.955
351	8807.667
352	8730.578
353	8692.355
354	8670.777
355	8648.422
356	8620.866
357	8619.111
358	8601.444
359	8570.578
360	8529.955
361	8548.155
362	8532.089
363	8495.645
364	8465.645
365	8475.000
366	8488.756
367	8446.178
368	8431.934
369	8415.378
370	8429.866
371	8422.800
372	8423.400
373	8410.911
374	8380.688
375	8329.045
376	8298.845
377	8263.533
378	8263.978
379	8226.333
380	8216.777
381	8207.511
382	8157.889
383	8096.355
384	8022.489
385	7999.622
386	7969.711
387	7918.978
388	7901.600
389	7865.778
390	7828.911
391	7795.867
392	7791.089
393	7799.911
394	7800.467
395	7776.511
396	7749.355
397	7739.156
398	7721.822
399	7715.778
400	7637.800
401	7560.378
402	7516.933
403	7483.733
404	7510.622
405	7473.133
406	7442.245
407	7382.622
408	7363.489
409	7335.489
410	7329.689
411	7307.844
412	7304.533
413	7268.467
414	7223.289
415	7198.822
416	7174.889
417	7150.467
418	7107.289
419	7082.755
420	7092.111
421	7111.467
422	7092.022
423	7078.800
424	7041.556
425	6986.355
426	6923.956
427	6902.444
428	6918.867
429	6900.400
430	6879.800
431	6861.711
432	6833.822
433	6771.556
434	6764.911
435	6773.867
436	6810.645
437	6763.622
438	6758.000
439	6725.911
440	6722.933
441	6708.600
442	6686.022
443	6689.822
444	6670.378
445	6663.755
446	6644.778
447	6633.889
448	6630.511
449	6607.889
450	6564.178
451	6556.533
452	6515.400
453	6523.111
454	6500.867
455	6507.578
456	6491.245
457	6459.467
458	6405.645
459	6390.467
460	6367.511
461	6363.578
462	6327.711
463	6308.000
464	6303.245
465	6281.556
466	6247.489
467	6230.467
468	6225.156
469	6219.378
470	6192.711
471	6155.000
472	6117.400
473	6077.733
474	6062.978
475	6047.889
476	6048.444
477	6050.311
478	6054.156
479	6045.267
480	6008.422
481	5976.311
482	5952.378
483	5953.222
484	5930.245
485	5914.289
486	5871.022
487	5853.289
488	5847.800
489	5849.556
490	5840.200
491	5817.778
492	5794.978
493	5780.867
494	5740.822
495	5713.156
496	5674.000
497	5658.755
498	5641.733
499	5626.178
500	5626.044
501	5612.156
502	5580.689
503	5532.245
504	5502.111
505	5483.333
506	5469.467
507	5453.222
508	5454.489
509	5459.022
510	5439.622
511	5419.133
512	5403.556
513	5390.755
514	5365.778
515	5324.511
516	5319.867
517	5296.245
518	5280.067
519	5229.489
520	5221.844
521	5204.867
522	5209.822
523	5206.556
524	5197.578
525	5171.733
526	5136.978
527	5123.956
528	5122.600
529	5122.711
530	5101.733
531	5082.978
532	5063.022
533	5060.467
534	5034.067
535	5034.067
536	5020.600
537	5012.956
538	4975.245
539	4953.200
540	4926.267
541	4902.911
542	4886.711
543	4882.378
544	4881.933
545	4873.245
546	4877.333
547	4860.467
548	4841.422
549	4821.355
550	4852.111
551	4846.311
552	4849.533
553	4798.156
554	4786.355
555	4755.133
556	4763.978
557	4763.511
558	4759.289
559	4753.311
560	4751.178
561	4761.511
562	4750.711
563	4721.422
564	4677.111
565	4654.711
566	4633.400
567	4622.933
568	4582.489
569	4569.067
570	4557.689
571	4572.778
572	4570.200
573	4562.355
574	4546.933
575	4537.844
576	4529.289
577	4502.378
578	4495.355
579	4508.444
580	4529.889
581	4499.222
582	4467.645
583	4433.289
584	4437.867
585	4445.778
586	4448.622
587	4433.489
588	4394.667
589	4365.133
590	4362.267
591	4359.200
592	4339.156
593	4306.978
594	4289.956
595	4294.178
596	4303.578
597	4323.000
598	4337.622
599	4335.355
600	4304.511
601	4277.622
602	4263.778
603	4261.489
604	4262.067
605	4251.044
606	4235.711
607	4228.222
608	4234.556
609	4227.556
610	4228.245
611	4204.578
612	4208.044
613	4192.467
614	4208.778
615	4219.889
616	4224.622
617	4201.222
618	4169.755
619	4147.178
620	4127.844
621	4112.111
622	4068.711
623	4053.244
624	4048.800
625	4059.689
626	4050.844
627	4021.244
628	3998.333
629	3970.844
630	3951.022
631	3947.622
632	3949.200
633	3939.022
634	3913.089
635	3877.200
636	3855.800
637	3828.578
638	3807.044
639	3799.578
640	3812.622
641	3824.622
642	3816.844
643	3788.178
644	3764.778
645	3747.022
646	3737.711
647	3741.489
648	3725.222
649	3713.733
650	3693.556
651	3700.689
652	3682.422
653	3665.511
654	3637.178
655	3626.800
656	3608.333
657	3586.378
658	3559.244
659	3528.333
660	3511.911
661	3516.267
662	3517.178
663	3509.933
664	3490.622
665	3486.311
666	3482.956
667	3492.200
668	3482.689
669	3459.333
670	3425.756
671	3410.422
672	3408.111
673	3403.267
674	3392.756
675	3373.489
676	3363.978
677	3354.756
678	3345.467
679	3320.222
680	3308.556
681	3290.244
682	3278.178
683	3253.467
684	3230.244
685	3225.667
686	3225.911
687	3234.111
688	3218.444
689	3203.622
690	3188.867
691	3176.600
692	3170.311
693	3159.622
694	3144.355
695	3120.578
696	3113.178
697	3101.756
698	3097.111
699	3082.867
700	3075.911
701	3049.467
702	3031.689
703	3020.267
704	3020.645
705	3020.067
706	3011.556
707	3003.444
708	2988.689
709	2978.022
710	2975.511
711	2967.822
712	2964.089
713	2949.378
714	2948.689
715	2939.267
716	2922.133
717	2901.333
718	2895.933
719	2891.444
